{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: original_144p, transmission: tcp, seq_bytes: 0, t: 0:00:07.909722, tr: 0:00:00.002001, image save only}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.005, transmission: udp, seq_bytes: 2, t: 0:00:02.160988, tr: 0:00:00.002001, MSE: 30791.397894965277, SSIM: 0.04694947296625818}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.006, transmission: udp, seq_bytes: 2, t: 0:00:02.016746, tr: 0:00:00.004001, MSE: 31001.04177517361, SSIM: 0.030877263687369372}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.007, transmission: udp, seq_bytes: 2, t: 0:00:02.027430, tr: 0:00:00.002000, MSE: 95573.51236979167, SSIM: 0.13283463351936223}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.008, transmission: udp, seq_bytes: 2, t: 0:00:02.220485, tr: 0:00:00.001999, MSE: 54926.28374565972, SSIM: 0.12333519824762372}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.009, transmission: udp, seq_bytes: 2, t: 0:00:02.402694, tr: 0:00:00.002009, MSE: 20767.142903645832, SSIM: 0.14047892423662844}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.01, transmission: udp, seq_bytes: 2, t: 0:00:02.607388, tr: 0:00:00.005999, MSE: 76729.70290798611, SSIM: 0.1337431742337351}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.011, transmission: udp, seq_bytes: 2, t: 0:00:02.947796, tr: 0:00:00.006002, MSE: 65743.69390190972, SSIM: 0.16893827195730285}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.012, transmission: udp, seq_bytes: 2, t: 0:00:03.132731, tr: 0:00:00.002001, MSE: 47206.88161892361, SSIM: 0.23719596551780495}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.013, transmission: udp, seq_bytes: 2, t: 0:00:03.441717, tr: 0:00:00.004007, MSE: 15084.286458333334, SSIM: 0.34381184919268715}
{X: 192, Y: 144, PayloadSize: 80, Method: None, Experiment: udp_res144p_sleep_0.014, transmission: udp, seq_bytes: 2, t: 0:00:03.720059, tr: 0:00:00.002000, MSE: 0.1193576388888889, SSIM: 0.9998869634396934}
